Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
Al-Co-Cr-Cu-Fe-Ni-,0.32-0.19-0.14-0.10-0.15-0.09-,-10.331768,6.5706744,1.3319771,4.536721,2.065989,14.107689,1513.0271,29.747095,1.7594754,7.255492,6.791365,2.9521587,0.8804217,6.0011964,18.006252
Cr-Cu-Fe-Mn-Ni-Sn-,0.15-0.09-0.12-0.38-0.25-0.02-,-1.8333187,3.6599183,1.3844771,1.8403441,11.71528,12.872525,1668.5017,17.859299,1.7279885,9.282759,8.207245,1.8655419,0.011215828,7.91245,6.2445703
Al-Co-Cr-Cu-Fe-Ni-,0.23-0.25-0.14-0.25-0.04-0.10-,-5.2595887,6.5925345,1.3360572,3.7625015,4.0200615,13.804993,1531.6101,26.746412,1.7942406,7.10197,7.777643,3.0120945,0.08662189,6.7831583,21.629972
Hf-Nb-Si-Ta-Ti-Zr-,0.23-0.27-0.10-0.01-0.21-0.18-,-23.459225,20.022402,1.4444463,9.097114,1.3278569,13.468062,2312.9155,16.643631,1.499751,12.288635,4.280769,0.45106113,0.0019763564,8.066523,616.8158
Al-Cr-Hf-Nb-Si-Ti-Zr-,0.06-0.08-0.09-0.32-0.02-0.25-0.17-,-11.884119,11.679672,1.4397863,6.488118,2.6820571,14.22517,2240.668,20.965305,1.5228658,8.925221,4.419483,0.71592975,0.8376189,7.156645,315.4913
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.10-0.27-0.17-0.07-0.14-0.15-0.09-,-6.0948553,5.33486,1.3628833,3.280303,4.2871413,15.473289,1688.6843,20.08477,1.7633532,7.7564216,7.685938,2.1372201,0.102299586,7.38501,21.651072
Al-Co-Cr-Fe-Mo-Ni-V-,0.03-0.32-0.03-0.18-0.03-0.24-0.16-,-10.311376,5.015454,1.3606558,2.4094923,2.4760523,13.76735,1854.4962,16.167303,1.8311429,6.6804066,8.029402,1.9598948,0.6553971,7.8968525,26.98146
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.23-0.19-0.12-0.17-0.11-0.13-0.05-,-10.094819,7.9597383,1.3415153,4.0038095,2.4083734,15.527893,1565.7043,26.116648,1.7783926,7.52108,7.416435,2.9682627,0.5216725,6.521004,17.976667
Co-Cr-Fe-Mn-Ni-,0.32-0.07-0.20-0.03-0.39-,-2.5138474,1.418816,1.3647647,1.6796676,7.8664765,11.089669,1783.2014,6.6878676,1.8578256,4.3613057,8.929156,1.14715,0.9845281,8.5018635,24.115162
Al-Co-Cr-Fe-Ni-,0.07-0.19-0.22-0.21-0.32-,-7.403323,3.9513118,1.3648853,2.8439438,3.0654297,12.614072,1799.1307,15.933752,1.8137233,5.9585624,8.066419,1.9897233,0.74428153,7.7232113,17.681368
Al-Co-Cr-Cu-Fe-Ti-,0.17-0.24-0.14-0.15-0.25-0.05-,-6.863215,7.175622,1.3547406,3.9023407,3.3845887,14.175881,1638.6393,23.966698,1.7761527,6.9276876,7.352922,2.6222951,0.031410877,6.736967,19.31437
Al-Cr-Fe-Mn-Ni-Sn-,0.08-0.14-0.10-0.52-0.11-0.04-,-7.062653,4.651189,1.383792,3.247681,2.6559136,11.908629,1575.143,23.896599,1.6558309,8.543103,7.236375,2.1186063,0.012219968,7.076248,5.5369654
Hf-Nb-Si-Ti-V-Zr-,0.13-0.29-0.08-0.21-0.09-0.20-,-18.752491,17.683743,1.4340148,8.409219,1.7186879,14.104652,2285.0386,15.721619,1.5228946,11.042807,4.379781,0.48695666,0.006705889,7.300037,403.362
Al-Co-Cr-Cu-Fe-Ni-,0.31-0.22-0.08-0.14-0.06-0.19-,-11.105126,7.120734,1.325711,4.0653152,1.8339373,13.795019,1476.3375,27.99514,1.7833192,7.4669905,7.2892294,3.1444836,0.9127653,6.228473,20.533754
Co-Cr-Fe-Ni-,0.19-0.21-0.19-0.41-,-3.9937336,1.7424136,1.370012,1.7959026,5.0972295,11.021757,1846.9805,9.495337,1.8362534,5.220827,8.585321,1.5275532,0.9648181,8.307879,17.914955
Al-Cr-Fe-Ni-Ti-,0.26-0.28-0.28-0.11-0.07-,-15.409674,6.117075,1.355654,4.732626,1.3669602,12.476916,1688.2704,27.9907,1.7138798,6.885738,6.0917997,2.3533628,0.11654865,5.8279586,5.016837
B-Co-Cr-Fe-Ni-,0.21-0.25-0.19-0.10-0.26-,-19.500477,8.608305,1.2606646,16.760408,1.3104321,13.042737,1959.255,13.076432,1.8748951,6.482883,7.3505793,2.6047294,2.1540543e-05,7.4760056,136.88971
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.17-0.08-0.16-0.16-0.09-0.21-0.14-,-14.949974,9.4613285,1.35236,3.8171575,1.7384199,15.769419,1648.0842,24.460203,1.7563763,8.345711,7.237767,2.9774642,0.5437263,6.434132,11.343364
Al-Co-Cr-Fe-Mn-Ni-Si-,0.19-0.13-0.24-0.10-0.04-0.27-0.03-,-16.602976,7.4772897,1.3425039,5.0662503,1.4645935,14.403799,1688.2079,24.608984,1.7664025,7.4418917,7.0659404,2.57675,0.6061771,6.4908442,15.027547
Al-Cr-Fe-Mo-Ni-,0.21-0.08-0.33-0.09-0.29-,-12.077211,5.031164,1.3578291,4.658518,1.7500242,12.254082,1724.7649,30.4324,1.8212095,8.538352,7.161261,2.549445,0.32433304,6.8980327,6.9747972
Al-Cr-Cu-Fe-Mn-Ni-Ti-,0.17-0.16-0.25-0.16-0.03-0.17-0.06-,-5.898194,7.7120004,1.3533735,3.8437064,4.1022444,15.175473,1594.4036,25.16035,1.7721976,7.74938,7.664713,2.936892,0.034242958,6.7593145,6.319306
Al-Co-Cr-Cu-Fe-Ni-Sn-Zn-,0.21-0.22-0.05-0.25-0.08-0.17-0.01-0.01-,-4.60776,6.560887,1.337163,3.6189973,4.7216763,14.725385,1477.4722,25.948057,1.8175638,6.6811824,8.323972,3.0137045,0.13079318,7.009025,19.573202
Al-Co-Cr-Cu-Fe-Mn-Ni-V-,0.09-0.23-0.11-0.10-0.18-0.06-0.19-0.03-,-5.7324095,5.655738,1.3584386,3.101624,4.7502313,16.100267,1691.2927,19.147898,1.8002539,6.868283,8.05422,2.2336822,0.22031689,7.5230875,19.956432
Al-Co-Cr-Fe-Ni-V-,0.02-0.17-0.10-0.19-0.41-0.11-,-8.3606205,4.284248,1.3627124,1.9610511,2.7728155,12.647968,1832.8995,11.381304,1.8294955,5.7653527,8.39452,1.8589367,0.93539673,8.020973,18.611488
Nb-Ti-V-,0.56-0.35-0.09-,1.1152424,0.88102305,1.42341,2.3063576,16.390583,7.571532,2414.2388,15.860202,1.5815918,2.0226607,4.6482368,0.4796735,1.0,6.9545245,32.6608
Al-Nb-Ti-V-,0.14-0.27-0.17-0.42-,-10.170439,5.909198,1.3712049,4.6811066,2.2457182,10.789759,2116.8162,26.57434,1.6038418,1.963992,4.544978,0.73221445,0.98567814,6.0595965,27.61505
Al-Cr-Fe-Ni-Ti-,0.28-0.23-0.31-0.13-0.05-,-15.284308,5.972664,1.3519804,4.8147516,1.330916,12.333713,1649.3112,28.392708,1.7251585,6.9664316,6.209539,2.4529178,0.23754591,5.8290133,4.6865144
Co-Fe-Ni-Si-,0.44-0.21-0.29-0.05-,-8.481461,7.7994394,1.3474379,4.597741,2.0816605,10.024548,1761.2285,1.9635886,1.879129,1.5307513,8.813394,1.33941,0.9999838,8.057087,30.86967
Hf-Mo-Nb-Ti-Zr-,0.04-0.15-0.28-0.28-0.24-,-2.74956,6.1688232,1.4617845,4.5350637,10.855303,12.567109,2375.0327,16.396614,1.5908136,16.627268,4.5760436,0.7378681,0.9999987,7.278183,148.73105
